# Undirected graph (each unordered pair of nodes is saved once): mygraph.txt
# Nodes: 2240 Edges: 3111
# NodeId	NodeId
13	3018
13	3029
13	3047
13	3048
13	3055
13	3067
13	3072
13	3074
13	3075
13	3078
13	3079
13	3080
13	3082
13	3083
13	3085
13	3096
13	3098
13	3124
13	3182
13	3213
13	3214
13	3215
13	3216
13	3217
13	3218
13	3219
13	3220
13	3221
13	3222
13	3223
13	3224
13	3225
13	3226
13	3227
13	3228
13	3229
13	3230
13	3231
13	3232
13	3233
13	3234
13	3235
13	3236
13	3237
13	3238
13	3239
13	3240
13	3241
13	3242
13	3243
13	3244
13	3245
13	3246
13	3247
13	3248
13	3249
13	3250
13	3251
13	3252
13	3253
13	3254
13	3255
13	3256
13	3257
13	3258
13	3259
13	3260
13	3261
13	3262
13	3263
13	3264
13	3265
13	3266
13	3267
13	3268
13	3269
13	3270
13	3271
13	3272
13	3273
13	3274
13	3275
13	3276
13	3277
13	3278
13	3279
14	3021
14	3024
14	3280
14	3281
14	3282
14	3283
15	3082
15	3089
15	3202
15	3205
15	3284
15	3285
15	3286
16	3018
16	3072
16	3186
16	3287
16	3288
17	3289
17	3290
17	3291
17	3292
18	3109
18	3111
18	3121
18	3126
18	3131
18	3164
18	3201
18	3242
18	3293
18	3294
18	3295
18	3296
18	3297
18	3298
18	3299
18	3300
18	3301
18	3302
18	3303
18	3304
19	3305
19	3306
19	3307
20	3021
20	3038
20	3082
20	3280
20	3308
20	3309
20	3310
20	3311
20	3312
21	3014
21	3018
21	3072
21	3075
21	3245
21	3260
21	3278
21	3309
21	3313
21	3314
21	3315
21	3316
21	3317
21	3318
21	3319
21	3320
22	3028
22	3031
22	3042
22	3080
22	3099
22	3187
22	3190
22	3257
22	3270
22	3278
22	3321
22	3322
22	3323
22	3324
22	3325
22	3326
22	3327
22	3328
22	3329
22	3330
22	3331
22	3332
22	3333
22	3334
22	3335
22	3336
22	3337
22	3338
23	3047
23	3317
23	3339
23	3340
23	3341
23	3342
23	3343
23	3344
23	3345
24	3010
24	3024
24	3047
24	3051
24	3194
24	3346
24	3347
24	3348
24	3349
24	3350
24	3351
24	3352
24	3353
24	3354
24	3355
24	3356
24	3357
25	3072
25	3126
